,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
1460,10 Village Road,"Cherry Hills Village, CO 80113","Jul 23, 2019","$2,500,000","$2,350,000",Single Family Residential,1954,5451,5,6,Cherry Hills Village,Cherry Hills Village,"$15,507",Cherry Creek 5,3,3,"Finished, Interior Entry, Partial",,Cash
1461,4501 S Vine Way,"Cherry Hills Village, CO 80113","Oct 14, 2020","$2,300,000","$2,350,000",Single Family Residential,1978,7384,4,4,Cherry Hills Village,Cherry Hills Village,"$16,380",Cherry Creek 5,3,3,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",$700,Conventional
1462,3153 Aspen Wood Lane,"Steamboat Springs, CO 80487","Dec 13, 2019","$2,295,000","$2,350,000",Single Family Residential,2003,4504,5,5,Sanctuary The Subd,Sanctuary The Subd,"$4,975",Steamboat Springs RE-2,2,2,"Finished, Interior Entry, Partial, Heated",$200,Cash
1463,675 Meadowbrook Circle,"Steamboat Springs, CO 80487","Aug 23, 2019","$2,425,000","$2,350,000",Single Family Residential,1993,5591,5,4,Steamboat Springs,Steamboat Springs,"$8,014",Steamboat Springs RE-2,3,3,"Finished, Partial, Walk-Out Access",$50,Conventional
1464,1510 E 10th Avenue Unit 13,"Denver, CO 80218","Jul 31, 2019","$2,695,000","$2,350,000",Condo,1970,4850,4,4,Cheesman Park,Cheesman Park,"$11,013",Denver 1,,,None,"$2,200",Cash
1465,1503 Cedar Avenue,"Boulder, CO 80304","Apr 02, 2019","$2,395,000","$2,350,000",Single Family Residential,1925,3920,4,3,Silver Maple,Silver Maple,"$4,763",Boulder Valley RE 2,2,2,"Crawl Space, None",,Conventional
1466,1131 S York Street,"Denver, CO 80210","Mar 13, 2019","$2,350,000","$2,350,000",Single Family Residential,2019,5396,6,5,Washington Park,Washington Park,"$13,428",Denver 1,2,2,"Full, Finished, Interior Entry, Sump Pump",,Cash
1467,11164 Beatrice Court,"Littleton, CO 80125","Feb 14, 2019","$2,350,000","$2,350,000",Single Family Residential,2018,5727,4,6,Ravenna,Ravenna,"$10,178",Douglas RE-1,4,4,"Full, Finished",$217,Cash
1468,1530 E Cedar Avenue,"Denver, CO 80209","Nov 27, 2018","$2,395,000","$2,350,000",Single Family Residential,2008,5198,5,6,Washington Park,Washington Park,"$10,491",Denver 1,2,2,"Full, Finished",,Conventional
1469,1306 Elizabeth Street,"Denver, CO 80206","Sep 14, 2018","$2,420,000","$2,350,000",Multifamily,1906,7384,,,Rohlfings,Rohlfings,"$10,611",Denver 1,4,4,"Daylight, Finished, Partial",,Conventional
1470,4990 Larkspur Street,"Littleton, CO 80123","Aug 01, 2018","$2,395,000","$2,350,000",Single Family Residential,1997,9119,6,9,Bow Mar,Bow Mar,"$17,744",Littleton 6,4,4,"Full, Finished","$1,320",Conventional
1471,900 Pennsylvania Street Unit 400,"Denver, CO 80203","May 01, 2018","$2,350,000","$2,350,000",Multifamily,2017,3023,,,Governor's Park,Governor's Park,,Denver 1,2,2,None,"$1,213",Conventional
1472,510 Monroe Street,"Denver, CO 80206","Dec 13, 2018","$2,350,000","$2,350,000",Single Family Residential,2007,5780,3,5,Cherry Creek North,Cherry Creek North,"$12,178",Denver 1,3,3,"Full, Finished, Interior Entry, Sump Pump",,Conventional
1473,3671 Beaver Brook Canyon Road,"Evergreen, CO 80439","May 15, 2018","$2,650,000","$2,346,500",Single Family Residential,2015,7800,6,6,Metes And Bounds,Metes And Bounds,"$6,925",Clear Creek RE-1,4,4,"Exterior Entry, Full, Finished, Walk-Out Access","$1,000",Cash
1474,4 Gray Owl Road,"Cherry Hills Village, CO 80113","Oct 09, 2020","$2,259,000","$2,344,000",Single Family Residential,2001,6452,5,8,Buell Mansion,Buell Mansion,"$9,075",Cherry Creek 5,3,3,"Finished, Partial",$599,Conventional
1475,602 Maxwell Avenue,"Boulder, CO 80304","Sep 04, 2018","$2,340,000","$2,340,000",Single Family Residential,1925,3635,4,5,Mapleton,Mapleton,"$11,158",Boulder Valley RE 2,2,2,"Crawl Space, Partial",,"Cash, Conventional, FHA, VA"
1476,1087 Bachelor Ridge Unit 202,"Avon, CO 81620","Dec 16, 2020","$2,495,000","$2,340,000",Condo,2005,2657,4,5,Bachelor Gulch,Bachelor Gulch,"$7,350",Eagle RE-50,1,1,,"$5,238",Conventional
1477,649 Meadowbrook Circle,"Steamboat Springs, CO 80487","Aug 14, 2020","$2,340,000","$2,340,000",Single Family Residential,1998,4979,4,4,Mountain View Estates,Mountain View Estates,"$7,705",Steamboat Springs RE-2,2,2,"Full, Finished, Walk-Out Access",$25,Cash
1478,45 Ivy Street,"Denver, CO 80220","Jul 22, 2020","$2,465,000","$2,340,000",Single Family Residential,2006,8102,6,6,Crestmoor,Crestmoor,"$14,875",Denver 1,3,3,"Full, Finished",,Conventional
1479,7668 Raphael Lane,"Littleton, CO 80125","Jan 27, 2021","$2,339,000","$2,339,000",Single Family Residential,2020,6654,5,7,Ravenna,Ravenna,"$14,121",Douglas RE-1,3,3,"Finished, Walk-Out Access",$317,VA
1480,5876 Highland Hills Circle,"Fort Collins, CO 80528","Oct 02, 2020","$2,400,000","$2,337,500",Single Family Residential,2000,10233,6,9,Highland Hills,Highland Hills,"$10,508",Poudre R-1,3,3,"Full, Bath/Stubbed",$489,
1481,5876 Highland Hills Circle,"Fort Collins, CO 80528","Oct 02, 2020","$2,400,000","$2,337,500",Single Family Residential,2000,10233,6,8,Highland Hills,Highland Hills,"$10,508",Poudre R-1,3,3,"Full, Finished",$489,Conventional
1482,1013 Mapleton Avenue,"Boulder, CO 80304","Aug 31, 2018","$2,125,000","$2,335,000",Single Family Residential,1900,2656,4,3,Mapleton,Mapleton,"$11,290",Boulder Valley RE 2,2,2,Partial,,"Cash, Conventional"
1483,865 Kalmia Avenue,"Boulder, CO 80304","Oct 26, 2020","$2,350,000","$2,335,000",Single Family Residential,1991,4220,5,4,Applegrove,Applegrove,"$11,422",Boulder Valley RE 2,2,2,None,,
1484,865 Kalmia Avenue,"Boulder, CO 80304","Oct 26, 2020","$2,350,000","$2,335,000",Single Family Residential,1991,4220,5,,Applegrove,Applegrove,"$11,422",Boulder Valley RE 2,2,2,Finished,,Cash
1485,1013 Mapleton Avenue,"Boulder, CO 80304","Aug 31, 2018","$2,125,000","$2,335,000",Single Family Residential,1900,2656,4,3,Mapleton,Mapleton,"$11,290",Boulder Valley RE 2,2,2,"Finished, Partial",,Conventional
1486,15000 Elk Lane,"Longmont, CO 80504","Feb 25, 2021","$5,800,000","$2,330,000",Single Family Residential,1993,2466,3,3,Northern Plains,Northern Plains,,St. Vrain Valley RE-1J,3,3,None,,
1487,15136 Lyons Ridge Drive,"Morrison, CO 80465","May 07, 2019","$2,145,000","$2,329,924",Single Family Residential,2019,9070,6,8,Montane Custom Collection,Montane Custom Collection,,Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",,Conventional
1488,733 13th Street,"Boulder, CO 80302","Apr 23, 2021","$2,125,000","$2,325,000",Single Family Residential,1949,3337,4,4,University Place,University Place,"$8,324",Boulder Valley RE 2,2,2,"Daylight, Partial",,
1489,2557 Sumac Avenue,"Boulder, CO 80304","Mar 12, 2019","$2,250,000","$2,325,000",Single Family Residential,1992,6544,5,6,Sumac Estates,Sumac Estates,"$12,953",Boulder Valley RE 2,3,3,"Daylight, Full",,"Cash, Conventional"
1490,2830 18th Street,"Boulder, CO 80304","Sep 13, 2019","$2,500,000","$2,325,000",Single Family Residential,2015,3910,4,3,Beckers,Beckers,,Boulder Valley RE 2,2,2,"Partial, Sump Pump",,"Cash, Conventional"
1491,1040 S Adams Street,"Denver, CO 80209","Jan 29, 2021","$2,250,000","$2,325,000",Single Family Residential,2006,6516,5,6,Belcaro,Belcaro,"$10,612",Denver 1,4,4,Full,,Cash
1492,590 S Gaylord Street,"Denver, CO 80209","Sep 28, 2020","$2,325,000","$2,325,000",Single Family Residential,2013,4975,4,5,Washington Park,Washington Park,"$10,819",Denver 1,2,2,"Full, Finished",,Conventional
1493,155 Steele Street Unit 1016,"Denver, CO 80206","Oct 30, 2019","$2,400,000","$2,325,000",Condo,2019,1950,,,Cherry Creek North,Cherry Creek North,"$8,597",Denver 1,2,2,,$953,Conventional
1494,310 Krameria Street,"Denver, CO 80220","Oct 14, 2020","$2,399,000","$2,325,000",Single Family Residential,2015,6338,6,6,Crestmoor,Crestmoor,"$11,953",Denver 1,3,3,"Full, Sump Pump",$100,Conventional
1495,162 Goldenview Drive,"Breckenridge, CO 80424","Oct 16, 2020","$2,500,000","$2,325,000",Single Family Residential,2008,4844,5,5,Goldenview Sub,Goldenview Sub,"$8,966",Summit RE-1,2,2,"Full, Finished, Interior Entry, Bath/Stubbed, Walk-Out Access",$250,Conventional
1496,33 Viking Drive,"Cherry Hills Village, CO 80113","Aug 20, 2020","$2,595,000","$2,325,000",Single Family Residential,1987,9077,6,7,Old Cherry Hills,Old Cherry Hills,"$13,987",Cherry Creek 5,4,4,"Full, Finished",,Cash
1497,200 Equinox Drive,"Castle Rock, CO 80108","Sep 24, 2020","$2,490,000","$2,325,000",Single Family Residential,2009,7932,3,5,Castle Pines Village,Castle Pines Village,"$18,578",Douglas RE-1,6,6,"Full, Finished, Walk-Out Access",$300,Conventional
1498,7170 S Polo Ridge Drive,"Littleton, CO 80128","Jul 31, 2020","$2,490,000","$2,325,000",Single Family Residential,1998,7192,5,6,Polo Reserve,Polo Reserve,"$12,849",Littleton 6,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$800,Conventional
1499,1163 S Gaylord Street,"Denver, CO 80210","Mar 16, 2020","$2,399,999","$2,325,000",Single Family Residential,2019,6090,6,7,East Wash Park,East Wash Park,"$3,947",Denver 1,,,"Full, Finished, Interior Entry, Heated, Sump Pump",,Cash
1500,1995 S Lake Road,"Lakewood, CO 80227","Dec 13, 2019","$2,375,000","$2,325,000",Single Family Residential,2002,12836,6,10,West 6200 Jewell Avenue,West 6200 Jewell Avenue,"$13,795",Jefferson County R-1,4,4,"Full, Finished, Interior Entry, Heated",$800,Conventional
1501,7832 Forest Keep Circle,"Parker, CO 80134","Sep 05, 2019","$2,500,000","$2,325,000",Single Family Residential,2019,6377,5,7,Colorado Golf Club,Colorado Golf Club,"$3,736",Douglas RE-1,4,4,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access, Heated",$320,Cash
1502,2575 S Fillmore Street,"Denver, CO 80210","Jul 16, 2019","$2,395,000","$2,325,000",Single Family Residential,2016,5224,6,5,Observatory Park,Observatory Park,"$8,292",Denver 1,3,3,"Full, Finished, Interior Entry",,Conventional
1503,921 S Vine Street,"Denver, CO 80209","Oct 22, 2018","$2,399,000","$2,325,000",Single Family Residential,2018,5562,6,6,Washington Park East,Washington Park East,"$4,525",Denver 1,2,2,"Full, Finished, Interior Entry, Sump Pump",,Conventional
1504,43370 County Road 36,"Steamboat Springs, CO 80487","Aug 30, 2018","$2,590,000","$2,325,000",Single Family Residential,1990,2717,3,3,Strawberry Park,Strawberry Park,"$2,258",Steamboat Springs RE-2,,,"Exterior Entry, Interior Entry, Partial, Walk-Out Access, Heated",,Cash
1505,999 8th Street,"Boulder, CO 80302","Jul 27, 2018","$2,575,000","$2,320,438",Single Family Residential,1958,4666,6,5,West Rose Hill - Bo,West Rose Hill - Bo,,Boulder Valley RE 2,2,2,Walk-Out Access,,"Cash, Conventional"
1506,999 8th Street,"Boulder, CO 80302","Jul 27, 2018","$2,575,000","$2,320,438",Single Family Residential,1958,4666,6,5,Boulder-Chautauqua-U-Hill,Boulder-Chautauqua-U-Hill,"$17,853",Boulder Valley RE 2,2,2,None,,Cash
1507,422 N Williams Street,"Denver, CO 80218","Oct 05, 2020","$2,295,000","$2,320,000",Single Family Residential,1982,4607,5,6,North Country Club,North Country Club,"$11,436",Denver 1,2,2,Partial,,Cash
1508,5871 S Colorado Boulevard,"Greenwood Village, CO 80121","Oct 01, 2020","$2,495,000","$2,320,000",Single Family Residential,1999,8960,6,6,The Preserve,The Preserve,"$14,257",Littleton 6,3,3,"Full, Finished, Walk-Out Access",,Conventional
1509,3175 Aspen Wood Lane,"Steamboat Springs, CO 80487","Oct 09, 2020","$2,395,000","$2,320,000",Single Family Residential,1998,3755,4,5,The Sanctuary,The Sanctuary,"$8,995",Steamboat Springs RE-2,3,3,Sump Pump,$200,Conventional
1510,815 S Cove Way,"Denver, CO 80209","Oct 15, 2019","$2,299,000","$2,320,000",Single Family Residential,2018,3968,5,6,Bonnie Brae,Bonnie Brae,"$3,656",Denver 1,2,2,None,,Conventional
1511,1600 Hillside Road,"Boulder, CO 80302","Apr 09, 2019","$2,480,000","$2,318,220",Single Family Residential,1900,5580,13,10,Shattucks Hillside Park,Shattucks Hillside Park,"$9,184",Boulder Valley RE 2,,,Full,,Cash
1512,4937 N 109th Street,"Longmont, CO 80504","Oct 30, 2019","$2,385,000","$2,315,000",Single Family Residential,1905,3258,5,6,Tedesco Nupud,Tedesco Nupud,"$5,358",Boulder Valley RE 2,4,4,"Crawl Space, None",,
1513,4602 S Elizabeth Court,"Cherry Hills Village, CO 80113","Jun 30, 2020","$2,315,000","$2,315,000",Single Family Residential,1980,6042,6,6,Cherry Hills Farm,Cherry Hills Farm,"$12,644",Cherry Creek 5,3,3,"Finished, Walk-Out Access","$1,200",Conventional
1514,334 S Gaylord Street,"Denver, CO 80209","May 21, 2020","$2,495,000","$2,312,500",Single Family Residential,1928,4533,4,5,Washington Park East,Washington Park East,"$4,082",Denver 1,2,2,"Crawl Space, Daylight, Finished, Bath/Stubbed, Sump Pump",,Conventional
1515,3150 3rd Street,"Boulder, CO 80304","Dec 30, 2019","$2,395,000","$2,310,000",Single Family Residential,2018,3426,5,4,Newlands,Newlands,"$6,390",Boulder Valley RE 2,2,2,Walk-Out Access,,
1516,1125 S York Street,"Denver, CO 80210","Aug 12, 2020","$2,395,000","$2,310,000",Single Family Residential,2020,5397,6,6,Washington Park,Washington Park,"$3,898",Denver 1,2,2,"Full, Finished, Sump Pump",,Conventional
1517,2545 S Adams Street,"Denver, CO 80210","Mar 23, 2020","$2,325,000","$2,310,000",Single Family Residential,2018,5930,7,5,Observatory Park,Observatory Park,"$2,175",Denver 1,3,3,"Full, Finished, Sump Pump",,Conventional
1518,99 Glenmoor Lane,"Cherry Hills Village, CO 80113","Jun 20, 2018","$2,325,000","$2,310,000",Single Family Residential,1993,6995,6,7,Glenmoor Country Club,Glenmoor Country Club,"$11,637",Cherry Creek 5,3,3,"Finished, Interior Entry, Partial",$825,Conventional
1519,10299 Tradition Place,"Lone Tree, CO 80124","Aug 16, 2019","$2,495,000","$2,310,000",Single Family Residential,2004,10047,4,7,Heritage Estates,Heritage Estates,"$19,225",Douglas RE-1,4,4,"Full, Finished, Walk-Out Access",$522,Cash
1520,4550 S University Boulevard,"Englewood, CO 80113","Jun 26, 2019","$2,560,000","$2,307,000",Single Family Residential,2006,8968,6,8,Cherry Hills Village,Cherry Hills Village,"$14,555",Cherry Creek 5,2,2,"Full, Finished, Walk-Out Access",,Cash
1521,742 8th Street,"Boulder, CO 80302","Apr 27, 2021","$2,300,000","$2,300,000",Single Family Residential,1946,3116,4,3,Chautauqua Heights,Chautauqua Heights,"$9,983",Boulder Valley RE 2,1,1,"Daylight, Full, Walk-Out Access",,
1522,2255 S Monroe Street,"Denver, CO 80210","Apr 19, 2021","$2,250,000","$2,300,000",Single Family Residential,1947,1542,3,2,University Park/Observatory Park,University Park/Observatory Park,"$3,664",Denver 1,2,2,,,Cash
1523,6339 Somerset Drive,"Niwot, CO 80503","Mar 31, 2021","$2,300,000","$2,300,000",Single Family Residential,1997,9672,6,9,Somerset Estates,Somerset Estates,"$18,612",St. Vrain Valley RE-1J,4,4,,$675,
1524,2133 9th Street,"Boulder, CO 80302","Sep 30, 2020","$2,399,000","$2,300,000",Single Family Residential,1883,2562,4,3,Mapleton Hill,Mapleton Hill,"$10,323",Boulder Valley RE 2,2,2,"Partial, Unfinished",,"Cash, Conventional, FHA, VA"
1525,300 Grape Street,"Denver, CO 80220","Apr 05, 2021","$2,195,000","$2,300,000",Single Family Residential,2006,6903,5,7,Hilltop,Hilltop,"$11,262",Denver 1,3,3,"Full, Finished, Interior Entry",,Other
1526,1238 Kerr Gulch Road,"Evergreen, CO 80439","Mar 04, 2021","$1,500,000","$2,300,000",Single Family Residential,1935,2897,2,2,Pinedale Ranch,Pinedale Ranch,"$2,707",Jefferson County R-1,2,2,,$800,Cash
1527,941 8th Street,"Boulder, CO 80302","Mar 29, 2021","$2,295,000","$2,300,000",Single Family Residential,1924,3463,4,4,West Rose Hill,West Rose Hill,,Boulder Valley RE 2,,,Partial,,
1528,7 Windover Road,"Greenwood Village, CO 80121","Feb 22, 2021","$2,100,000","$2,300,000",Single Family Residential,1978,5064,5,5,Greenwood Highlands,Greenwood Highlands,"$9,029",Cherry Creek 5,3,3,"Finished, Partial",$900,Cash
1529,43550 County Road 39,"Pierce, CO 80650","Feb 28, 2020","$2,825,000","$2,300,000",Single Family Residential,1971,,,,N/A,N/A,$24,Ault-Highland RE-9,2,2,None,,Conventional
1530,52 Boulder View Lane,"Boulder, CO 80304","Jun 05, 2019","$2,500,000","$2,300,000",Single Family Residential,1980,5023,5,6,Pine Brook Hills,Pine Brook Hills,"$18,074",Boulder Valley RE 2,3,3,None,$75,"Cash, Conventional"
1531,3965 Douglas Mountain Drive,"Golden, CO 80403","Apr 28, 2021","$2,599,000","$2,300,000",Single Family Residential,2009,5022,4,5,Golden Gate Canyon,Golden Gate Canyon,"$4,669",Jefferson County R-1,3,3,None,,
1532,430 Christmas Tree Drive,"Boulder, CO 80302","Mar 29, 2019","$2,350,000","$2,300,000",Single Family Residential,1956,3096,4,3,Flatirons Park,Flatirons Park,"$7,891",Boulder Valley RE 2,1,1,None,,"Cash, Conventional"
1533,508 Peakview Road,"Boulder, CO 80302","Jul 19, 2019","$2,600,000","$2,300,000",Single Family Residential,1984,5571,3,4,"Old Stage, Foothills","Old Stage, Foothills","$5,857",Boulder Valley RE 2,2,2,None,,"Cash, Conventional, FHA"
1534,6775 Ute Highway,"Longmont, CO 80503","Mar 09, 2021","$2,400,000","$2,300,000",Single Family Residential,1990,4114,3,3,Northern Plains,Northern Plains,"$7,658",St. Vrain Valley RE-1J,2,2,"Crawl Space, None",,
1535,11 Bellaire Street,"Denver, CO 80220","Feb 10, 2021","$2,275,000","$2,300,000",Single Family Residential,2006,7760,5,9,Hilltop,Hilltop,"$10,261",Denver 1,3,3,"Full, Finished, Sump Pump",,Conventional
1536,3965 Douglas Mountain Drive,"Golden, CO 80403","Apr 28, 2021","$2,599,000","$2,300,000",Single Family Residential,2009,5022,4,5,Golden Gate Canyon,Golden Gate Canyon,"$4,669",Jefferson County R-1,3,3,,,Cash
1537,1727 E 4th Avenue,"Denver, CO 80218","Nov 02, 2020","$2,300,000","$2,300,000",Single Family Residential,1995,7270,6,8,Denver Country Club,Denver Country Club,"$14,469",Denver 1,3,3,Full,,Cash
1538,864 Diamond Ridge Circle,"Castle Rock, CO 80108","Feb 09, 2021","$2,390,000","$2,300,000",Single Family Residential,2001,9367,5,8,Diamond Ridge Estates,Diamond Ridge Estates,"$7,570",Douglas RE-1,4,4,"Daylight, Full, Finished, Walk-Out Access",$121,Cash
1539,245 Elm Street,"Denver, CO 80220","Sep 11, 2020","$2,300,000","$2,300,000",Single Family Residential,2005,6686,6,6,Hilltop,Hilltop,"$11,601",Denver 1,2,2,Partial,,Conventional
1540,1101 E Belleview Avenue,"Cherry Hills Village, CO 80121","Oct 09, 2020","$2,395,000","$2,300,000",Single Family Residential,2015,5573,4,5,Cherry Hills,Cherry Hills,"$12,036",Cherry Creek 5,3,3,Full,,Cash
1541,532 N High Street,"Denver, CO 80218","Oct 14, 2020","$2,300,000","$2,300,000",Single Family Residential,1924,3973,4,4,Country Club,Country Club,"$7,463",Denver 1,3,3,"Full, Finished",,Conventional
1542,20 Viking Drive,"Cherry Hills Village, CO 80113","Sep 30, 2020","$2,275,000","$2,300,000",Single Family Residential,2017,1300,1,2,Cherry Hills,Cherry Hills,"$8,755",Cherry Creek 5,,,,,Cash
1543,2659 High Prairie Way,"Broomfield, CO 80023","Aug 19, 2020","$2,450,000","$2,300,000",Single Family Residential,2008,8421,5,6,Spruce Meadows,Spruce Meadows,"$16,026",Adams 12 5 Star Schl,6,6,"Full, Finished",$510,Cash
1544,1057 S York Street,"Denver, CO 80209","Nov 30, 2020","$2,349,999","$2,300,000",Single Family Residential,2015,5205,5,5,Washington Park,Washington Park,"$10,876",Denver 1,3,3,Full,,Conventional
1545,800 S Franklin Street,"Denver, CO 80209","Jul 20, 2020","$1,980,000","$2,300,000",Single Family Residential,1890,2359,3,2,Washington Park,Washington Park,"$7,840",Denver 1,2,2,Partial,,Conventional
1546,15111 Prairie Place,"Broomfield, CO 80023","Aug 07, 2020","$2,350,000","$2,300,000",Single Family Residential,2008,8509,6,7,Spruce Meadows,Spruce Meadows,"$18,983",Adams 12 5 Star Schl,4,4,"Full, Finished, Sump Pump",$510,Conventional
1547,788 S Williams,"Denver, CO 80209","Aug 20, 2020","$2,350,000","$2,300,000",Single Family Residential,2020,4325,5,5,Washington Park East,Washington Park East,"$4,155",Denver 1,2,2,"Full, Finished, Sump Pump",,Cash
1548,7270 S Polo Ridge Drive,"Littleton, CO 80128","Sep 22, 2020","$2,300,000","$2,300,000",Single Family Residential,1996,7254,5,7,The Polo Reserve,The Polo Reserve,"$15,340",Littleton 6,6,6,"Full, Finished, Walk-Out Access",$850,Conventional
1549,4550 E Perry Parkway,"Greenwood Village, CO 80121","Jul 17, 2020","$2,500,000","$2,300,000",Single Family Residential,1995,7165,5,7,The Preserve At Greenwood Village,The Preserve At Greenwood Village,"$12,328",Cherry Creek 5,4,4,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",$600,Conventional
1550,15 Nob Street,"Steamboat Springs, CO 80487","Dec 17, 2020","$2,395,000","$2,300,000",Single Family Residential,2007,4211,5,5,Crawfrdaddtoss,Crawfrdaddtoss,"$5,520",Steamboat Springs RE-2,,,"Finished, Walk-Out Access",,Cash
1551,4915 Old Stagecoach Road,"Colorado Springs, CO 80908","Oct 06, 2020","$2,398,900","$2,300,000",Single Family Residential,2020,7710,6,8,Flying Horse North,Flying Horse North,$976,Academy 20,4,4,Walk-Out Access,$100,Conventional
1552,2133 9th Street,"Boulder, CO 80302","Sep 30, 2020","$2,399,000","$2,300,000",Single Family Residential,1886,2562,,,Mapleton Hill,Mapleton Hill,"$10,323",Boulder Valley RE 2,2,2,"Partial, Unfinished",,Conventional
1553,31483 Morning Star Drive,"Evergreen, CO 80439","Nov 05, 2020","$2,400,000","$2,300,000",Single Family Residential,2000,7157,4,5,Tanoa,Tanoa,"$9,855",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$360,Conventional
1554,2360 S Monroe Street,"Denver, CO 80210","Aug 06, 2020","$2,445,000","$2,300,000",Single Family Residential,2020,6125,6,6,University Gardens,University Gardens,"$3,504",Denver 1,3,3,"Full, Finished, Interior Entry, Sump Pump",,Conventional
1555,2356 S Monroe Street,"Denver, CO 80210","Aug 19, 2020","$2,445,000","$2,300,000",Single Family Residential,2020,6129,6,6,Observatory Park,Observatory Park,"$3,143",Denver 1,3,3,"Full, Finished, Interior Entry",,Conventional
1556,52 Boulder View Lane,"Boulder, CO 80304","Jun 05, 2019","$2,500,000","$2,300,000",Single Family Residential,1980,5023,5,6,Boulder,Boulder,"$18,074",Boulder Valley RE 2,,,None,$75,Conventional
1557,28505 Thorpe Mountain Drive,"Oak Creek, CO 80467","Dec 18, 2019","$2,499,000","$2,300,000",Single Family Residential,1999,5617,5,6,,,"$10,354",South Routt RE-3,3,3,"Crawl Space, Finished, None",,Cash
1558,1073 S York Street,"Denver, CO 80209","May 17, 2018","$2,299,000","$2,300,000",Single Family Residential,2018,6064,6,7,East Wash Park,East Wash Park,"$3,308",Denver 1,2,2,"Full, Finished, Interior Entry, Heated, Sump Pump",,Cash
1559,140 N Humboldt Street,"Denver, CO 80218","Aug 31, 2020","$2,700,000","$2,300,000",Single Family Residential,1911,6643,5,6,Country Club,Country Club,"$13,216",Denver 1,2,2,"Partial, Walk-Out Access",,Conventional
1560,3309 E 7th Avenue Parkway,"Denver, CO 80206","Dec 05, 2019","$2,500,000","$2,300,000",Single Family Residential,1921,8587,5,5,7th Avenue,7th Avenue,"$20,284",Denver 1,2,2,"Finished, Interior Entry, Partial",,Cash
1561,4061 E Chestnut Court,"Greenwood Village, CO 80121","Oct 15, 2019","$2,500,000","$2,300,000",Single Family Residential,2008,8670,5,8,The Preserve,The Preserve,"$16,875",Littleton 6,4,4,"Full, Finished, Heated",$500,Cash
1562,508 Peakview Road,"Boulder, CO 80302","Jul 19, 2019","$2,600,000","$2,300,000",Single Family Residential,1978,5571,3,4,Foothills,Foothills,"$6,038",Boulder Valley RE 2,2,2,None,,Cash
1563,3225 Aspen Wood Drive,"Steamboat Springs, CO 80487","Jun 19, 2019","$2,349,000","$2,300,000",Single Family Residential,2004,4678,4,6,Steamboat Springs,Steamboat Springs,"$6,208",Steamboat Springs RE-2,,,"Crawl Space, None, Sump Pump",$200,Cash
1564,45 Nob. Street,"Steamboat Springs, CO 80487","May 30, 2019","$2,350,000","$2,300,000",Single Family Residential,2014,4073,5,5,Downtown Steamboat,Downtown Steamboat,"$4,789",Steamboat Springs RE-2,3,3,"Finished, None, Walk-Out Access",,Cash
1565,430 Christmas Tree Drive,"Boulder, CO 80302","Mar 29, 2019","$2,350,000","$2,300,000",Single Family Residential,1956,3000,4,3,Flatirons,Flatirons,"$7,891",Boulder Valley RE 2,1,1,"Full, Walk-Out Access",,Conventional
1566,1268 S York Street,"Denver, CO 80210","Mar 01, 2019","$2,349,000","$2,300,000",Single Family Residential,2018,5739,6,5,Washington Park East,Washington Park East,"$2,810",Denver 1,2,2,"Full, Finished, Interior Entry",,Cash
1567,10869 Evergold Way,"Highlands Ranch, CO 80126","Sep 26, 2018","$2,400,000","$2,300,000",Single Family Residential,2016,7370,4,5,Backcountry,Backcountry,"$8,557",Douglas RE-1,2,2,"Full, Unfinished, Walk-Out Access",$142,Cash
1568,417 S Gilpin Street,"Denver, CO 80209","Oct 08, 2020","$2,299,000","$2,299,000",Single Family Residential,2020,4940,5,5,Washington Park East,Washington Park East,"$4,444",Denver 1,2,2,"Full, Finished, Sump Pump",,Cash
1569,7824 Upper Bear Creek Road,"Evergreen, CO 80439","Sep 25, 2020","$2,299,000","$2,299,000",Single Family Residential,1927,1452,4,2,Upper Bear,Upper Bear,"$1,083",Clear Creek RE-1,,,"Crawl Space, None",,Cash
1570,2821 E Cedar Avenue Unit 10,"Denver, CO 80209","Mar 31, 2020","$2,299,000","$2,299,000",Single Family Residential,2019,6608,5,6,Polo Club,Polo Club,"$9,811",Denver 1,3,3,"Finished, Interior Entry, Partial",$289,Conventional
1571,2800 10th Street,"Boulder, CO 80304","Sep 28, 2018","$2,295,000","$2,295,000",Single Family Residential,2018,4662,5,5,Newlands,Newlands,"$4,082",Boulder Valley RE 2,2,2,,,"Cash, Conventional"
1572,2468 Powderhorn Lane,"Boulder, CO 80305","Jul 22, 2019","$2,295,000","$2,295,000",Single Family Residential,1976,3651,5,4,Devils Thumb 4,Devils Thumb 4,"$7,565",Boulder Valley RE 2,4,4,"Full, Walk-Out Access","$1,164","Cash, Conventional"
1573,895 S High Street,"Denver, CO 80209","Oct 30, 2020","$2,295,000","$2,295,000",Single Family Residential,2007,5092,6,7,Washington Park,Washington Park,"$10,447",Denver 1,2,2,Finished,,Cash
